iter	Passed	Remaining
0	134	134767
1	135	67792
2	136	45444
3	137	34272
4	138	27566
5	139	23095
6	141	20054
7	142	17655
8	143	15779
9	144	14274
10	145	13047
11	146	12022
12	147	11191
13	148	10461
14	149	9819
15	150	9259
16	151	8762
17	152	8315
18	153	7913
19	154	7552
20	156	7287
21	157	6994
22	158	6722
23	159	6472
24	160	6247
25	161	6044
26	162	5849
27	163	5666
28	164	5495
29	165	5337
30	165	5187
31	166	5048
32	167	4918
33	168	4800
34	170	4695
35	171	4588
36	172	4484
37	173	4384
38	174	4289
39	175	4204
40	176	4119
41	176	4036
42	177	3961
43	179	3889
44	179	3818
45	180	3749
46	181	3683
47	182	3619
48	183	3559
49	184	3504
50	186	3463
51	187	3410
52	188	3361
53	189	3314
54	190	3266
55	191	3219
56	191	3174
57	192	3130
58	193	3088
59	194	3048
60	195	3009
61	196	2971
62	197	2936
63	198	2901
64	199	2867
65	200	2836
66	201	2806
67	202	2777
68	203	2747
69	204	2716
70	205	2686
71	206	2657
72	207	2630
73	208	2603
74	208	2576
75	209	2550
76	210	2525
77	211	2500
78	212	2476
79	213	2452
80	214	2429
81	215	2410
82	216	2387
83	217	2370
84	218	2349
85	219	2329
86	220	2310
87	221	2290
88	221	2271
89	222	2252
90	223	2234
91	224	2216
92	225	2198
93	226	2182
94	227	2165
95	228	2148
96	229	2132
97	230	2118
98	231	2107
99	232	2092
100	233	2077
101	234	2062
102	235	2047
103	236	2033
104	236	2020
105	237	2005
106	238	1992
107	239	1978
108	240	1965
109	241	1951
110	242	1938
111	242	1925
112	243	1912
113	245	1910
114	246	1899
115	247	1887
116	248	1874
117	249	1862
118	250	1851
119	250	1839
120	251	1828
121	252	1816
122	253	1805
123	254	1794
124	255	1785
125	255	1775
126	256	1764
127	257	1754
128	258	1744
129	260	1740
130	261	1734
131	262	1724
132	263	1715
133	264	1706
134	264	1697
135	265	1689
136	266	1680
137	267	1671
138	268	1663
139	269	1654
140	270	1646
141	270	1636
142	271	1628
